level,paper_id,question_text,option_1,option_2,option_3,option_4,correct_option
1,1,"What is 2 + 2?","3","4","5","6",2
1,1,"What is the capital of France?","London","Berlin","Paris","Madrid",3
1,1,"What is the color of the sky on a clear day?","Green","Blue","Red","Yellow",2
1,1,"Which is a mammal?","Shark","Dolphin","Salmon","Trout",2
1,1,"Which planet is known as the Red Planet?","Earth","Mars","Jupiter","Venus",2
1,1,"What is H2O commonly known as?","Oxygen","Hydrogen","Water","Helium",3
1,1,"What is the largest ocean on Earth?","Atlantic","Indian","Arctic","Pacific",4
1,1,"Who wrote 'Romeo and Juliet'?","Shakespeare","Dickens","Austen","Hemingway",1
1,1,"What is the smallest prime number?","0","1","2","3",3
1,1,"Which element has the chemical symbol 'O'?","Gold","Oxygen","Silver","Iron",2
1,2,"What is 3 + 5?","7","8","9","10",2
1,2,"What is the capital of Germany?","Vienna","Berlin","Zurich","Brussels",2
1,2,"What color are bananas?","Red","Blue","Yellow","Green",3
1,2,"Which is not a mammal?","Whale","Bat","Crocodile","Human",3
1,2,"Which planet is known as the Blue Planet?","Mars","Venus","Earth","Jupiter",3
1,2,"What is CO2 commonly known as?","Carbon Monoxide","Carbon Dioxide","Ozone","Methane",2
1,2,"What is the longest river in the world?","Amazon","Nile","Yangtze","Mississippi",2
1,2,"Who wrote '1984'?","Orwell","Huxley","Bradbury","Asimov",1
1,2,"What is the second smallest prime number?","2","3","5","7",2
1,2,"Which element has the chemical symbol 'Na'?","Nitrogen","Sodium","Neon","Nickel",2
1,3,"What is 6 + 4?","8","9","10","11",3
1,3,"What is the capital of Italy?","Rome","Paris","Madrid","Berlin",1
1,3,"What color are strawberries?","Blue","Yellow","Red","Green",3
1,3,"Which animal is known as the King of the Jungle?","Elephant","Tiger","Lion","Giraffe",3
1,3,"Which planet is closest to the Sun?","Earth","Venus","Mercury","Mars",3
1,3,"What is the chemical symbol for Gold?","Au","Ag","Pb","Fe",1
1,3,"What is the smallest continent by land area?","Australia","Europe","Antarctica","South America",1
1,3,"Who painted the Mona Lisa?","Van Gogh","Da Vinci","Picasso","Rembrandt",2
1,3,"What is the square root of 16?","2","3","4","5",3
1,3,"Which element has the chemical symbol 'He'?","Helium","Hydrogen","Hafnium","Hassium",1
1,4,"What is 7 + 3?","8","9","10","11",3
1,4,"What is the capital of Spain?","Lisbon","Madrid","Barcelona","Seville",2
1,4,"What color are lemons?","Red","Blue","Yellow","Green",3
1,4,"Which is not a bird?","Sparrow","Eagle","Penguin","Dolphin",4
